"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Turb_Kin_Energy","Omega","Pressure","Temperature","Mach","Pressure_Coefficient","Velocity_x","Velocity_y","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus","Eddy_Viscosity"
6610, 2.192186027506876e+00, 2.304080359812114e-01, 2.578610081980606e-02, 0.000000000000000e+00, 0.000000000000000e+00, 5.551594253195372e+03, 1.000000000000000e-10, 3.375335982847748e+14, 2.220637701278148e+03, 3.000007757978839e+02, 0.000000000000000e+00, 3.007022369727862e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.845919922064992e-05, 1.975812841532740e-03, 2.076662977373098e-04, 8.581350452971940e+04, 3.679441072933147e-03, 7.639566636326567e-27
6611, 2.191532799099774e+00, 2.303393789090292e-01, 2.578615950251545e-02, 0.000000000000000e+00, 0.000000000000000e+00, 5.551606888837545e+03, 1.000000000000000e-10, 3.375066619503227e+14, 2.220642755535016e+03, 3.000007758845405e+02, 0.000000000000000e+00, 3.007031901002987e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.845919922475026e-05, 1.975923737836600e-03, 2.076779534087458e-04, 8.581832940944259e+04, 3.679691275505652e-03, 7.640193735353266e-27
6612, 2.190879570692673e+00, 2.302707218368469e-01, 2.578621819538891e-02, 0.000000000000000e+00, 0.000000000000000e+00, 5.551619526659872e+03, 1.000000000000000e-10, 3.374797286569990e+14, 2.220647810663947e+03, 3.000007759707585e+02, 0.000000000000000e+00, 3.007041433922640e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.845919922882987e-05, 1.976034675517695e-03, 2.076896134290475e-04, 8.582315614382365e+04, 3.679941523001437e-03, 7.640820868643178e-27
6613, 2.190226342285571e+00, 2.302020647646646e-01, 2.578627689870847e-02, 0.000000000000000e+00, 0.000000000000000e+00, 5.551632166737340e+03, 1.000000000000000e-10, 3.374527997616637e+14, 2.220652866694935e+03, 3.000007760573088e+02, 0.000000000000000e+00, 3.007050968543383e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.845919923292519e-05, 1.976145653090687e-03, 2.077012776415954e-04, 8.582798466767579e+04, 3.680191806622573e-03, 7.641448005545698e-27
6614, 2.189573113878469e+00, 2.301334076924824e-01, 2.578633561263412e-02, 0.000000000000000e+00, 0.000000000000000e+00, 5.551644809101584e+03, 1.000000000000000e-10, 3.374258725356393e+14, 2.220657923640632e+03, 3.000007761440396e+02, 0.000000000000000e+00, 3.007060504889079e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.845919923702907e-05, 1.976256666896381e-03, 2.077129456626627e-04, 8.583281482134837e+04, 3.680442137845521e-03, 7.642075207884105e-27
6615, 2.188919885471367e+00, 2.300647506203002e-01, 2.578639433737633e-02, 0.000000000000000e+00, 0.000000000000000e+00, 5.551657453792438e+03, 1.000000000000000e-10, 3.373989424345058e+14, 2.220662981516974e+03, 3.000007762306549e+02, 0.000000000000000e+00, 3.007070042989776e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.845919924112746e-05, 1.976367732755319e-03, 2.077246191551398e-04, 8.583764728967607e+04, 3.680692556205533e-03, 7.642702578666519e-27
6616, 2.188266657064266e+00, 2.299960935481179e-01, 2.578645307343602e-02, 0.000000000000000e+00, 0.000000000000000e+00, 5.551670100914353e+03, 1.000000000000000e-10, 3.373720244418745e+14, 2.220668040365739e+03, 3.000007763169713e+02, 0.000000000000000e+00, 3.007079582924261e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.845919924521171e-05, 1.976478834429462e-03, 2.077362964115534e-04, 8.584248136830384e+04, 3.680942964825352e-03, 7.643329778636665e-27
6617, 2.187613428657164e+00, 2.299274364759357e-01, 2.578651182091336e-02, 0.000000000000000e+00, 0.000000000000000e+00, 5.551682750512216e+03, 1.000000000000000e-10, 3.373451062877224e+14, 2.220673100204885e+03, 3.000007764042489e+02, 0.000000000000000e+00, 3.007089124726397e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.845919924934146e-05, 1.976589970888795e-03, 2.077479773239232e-04, 8.584731701082757e+04, 3.681193429675355e-03, 7.643957085744221e-27
6618, 2.186960200250062e+00, 2.298587794037534e-01, 2.578657058022354e-02, 0.000000000000000e+00, 0.000000000000000e+00, 5.551695402641080e+03, 1.000000000000000e-10, 3.373181879719671e+14, 2.220678161056431e+03, 3.000007764906323e+02, 0.000000000000000e+00, 3.007098668437709e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.845919925342889e-05, 1.976701162635570e-03, 2.077596640475771e-04, 8.585215510486806e+04, 3.681443969881963e-03, 7.644584500140673e-27
6619, 2.186306971842960e+00, 2.297901223315712e-01, 2.578662935173740e-02, 0.000000000000000e+00, 0.000000000000000e+00, 5.551708057403404e+03, 1.000000000000000e-10, 3.372912776596304e+14, 2.220683222961360e+03, 3.000007765773440e+02, 0.000000000000000e+00, 3.007108214135483e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.845919925753185e-05, 1.976812388736304e-03, 2.077713543817523e-04, 8.585699474221586e+04, 3.681694521359444e-03, 7.645211836890099e-27
6620, 2.185653743435858e+00, 2.297214652593889e-01, 2.578668813572715e-02, 0.000000000000000e+00, 0.000000000000000e+00, 5.551720714860890e+03, 1.000000000000000e-10, 3.372643685347819e+14, 2.220688285944355e+03, 3.000007766645512e+02, 0.000000000000000e+00, 3.007117761866263e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.845919926165826e-05, 1.976923657635135e-03, 2.077830492144141e-04, 8.586183628832376e+04, 3.681945129174238e-03, 7.645839250528214e-27
6621, 2.185000515028757e+00, 2.296528081872067e-01, 2.578674693261497e-02, 0.000000000000000e+00, 0.000000000000000e+00, 5.551733375081481e+03, 1.000000000000000e-10, 3.372374624108189e+14, 2.220693350032591e+03, 3.000007767510136e+02, 0.000000000000000e+00, 3.007127311681298e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.845919926574943e-05, 1.977034974614841e-03, 2.077947491006061e-04, 8.586667996981139e+04, 3.682195788363487e-03, 7.646466700075303e-27
6622, 2.184347286621655e+00, 2.295841511150244e-01, 2.578680574274070e-02, 0.000000000000000e+00, 0.000000000000000e+00, 5.551746038158466e+03, 1.000000000000000e-10, 3.372105574645124e+14, 2.220698415263385e+03, 3.000007768378189e+02, 0.000000000000000e+00, 3.007136863650959e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.845919926985682e-05, 1.977146335347709e-03, 2.078064535849636e-04, 8.587152559861280e+04, 3.682446504838244e-03, 7.647094226970276e-27
6623, 2.183694058214553e+00, 2.295154940428422e-01, 2.578686456664019e-02, 0.000000000000000e+00, 0.000000000000000e+00, 5.551758704209814e+03, 1.000000000000000e-10, 3.371836609495464e+14, 2.220703481683924e+03, 3.000007769251076e+02, 0.000000000000000e+00, 3.007146417864232e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.845919927398708e-05, 1.977257731042331e-03, 2.078181617442015e-04, 8.587637279273322e+04, 3.682697230784673e-03, 7.647721666861877e-27
6624, 2.183040829807451e+00, 2.294468369706599e-01, 2.578692340460807e-02, 0.000000000000000e+00, 0.000000000000000e+00, 5.551771373285043e+03, 1.000000000000000e-10, 3.371567606100418e+14, 2.220708549314016e+03, 3.000007770121280e+02, 0.000000000000000e+00, 3.007155974358469e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.845919927810465e-05, 1.977369179198680e-03, 2.078298754175875e-04, 8.588122230883251e+04, 3.682948049461139e-03, 7.648349297792343e-27
6625, 2.182387601400349e+00, 2.293781798984777e-01, 2.578698225719675e-02, 0.000000000000000e+00, 0.000000000000000e+00, 5.551784045508431e+03, 1.000000000000000e-10, 3.371298682362198e+14, 2.220713618203371e+03, 3.000007770991688e+02, 0.000000000000000e+00, 3.007165533227414e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.845919928222318e-05, 1.977480667438955e-03, 2.078415933038801e-04, 8.588607360939169e+04, 3.683198884921397e-03, 7.648976852489951e-27
6626, 2.181734372993248e+00, 2.293095228262954e-01, 2.578704112472147e-02, 0.000000000000000e+00, 0.000000000000000e+00, 5.551796720939502e+03, 1.000000000000000e-10, 3.371029788326131e+14, 2.220718688375800e+03, 3.000007771857793e+02, 0.000000000000000e+00, 3.007175094515968e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.845919928632136e-05, 1.977592197623620e-03, 2.078533155986483e-04, 8.589092677399681e+04, 3.683449766193763e-03, 7.649604444343552e-27
6627, 2.181081144586146e+00, 2.292408657541132e-01, 2.578710000771834e-02, 0.000000000000000e+00, 0.000000000000000e+00, 5.551809399707982e+03, 1.000000000000000e-10, 3.370760887609683e+14, 2.220723759883191e+03, 3.000007772727323e+02, 0.000000000000000e+00, 3.007184658321984e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.845919929043574e-05, 1.977703776715515e-03, 2.078650430338003e-04, 8.589578210273152e+04, 3.683700719637856e-03, 7.650232156077791e-27
6628, 2.180427916179044e+00, 2.291722086819309e-01, 2.578715890668821e-02, 0.000000000000000e+00, 0.000000000000000e+00, 5.551822081918703e+03, 1.000000000000000e-10, 3.370492048190298e+14, 2.220728832767480e+03, 3.000007773598659e+02, 0.000000000000000e+00, 3.007194224724541e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.845919929455866e-05, 1.977815393510153e-03, 2.078767744316167e-04, 8.590063910950470e+04, 3.683951697664524e-03, 7.650859833568058e-27
